Líneas Nazca,Estudios
Personas o animales nacen dedos normal considerados cercanos a apus dioses cerros antiguas divinidades Nasca tenían facultad convertirse ave y volar,explica cerámica Nasca aparezca mano tetradáctil dedos convierte ala ave u ala ornitomorfa forma ave Kauffman
explica cerámica Nasca aparezca mano tetradáctil dedos convierte ala ave u ala ornitomorfa forma ave Kauffman,Colibrí
Colibrí,distancia alas metros
distancia alas metros,figura armónica
figura armónica,considerada a años figuras representativas
considerada a años figuras representativas,descubrimiento y posterior estudio supondrían actividades y cultos religiosos llevaron a cabo pobladores antigua Nasca
descubrimiento y posterior estudio supondrían actividades y cultos religiosos llevaron a cabo pobladores antigua Nasca,María Rostworowski menciona figuras realizadas vistas cielo
María Rostworowski menciona figuras realizadas vistas cielo,figura diseñada rendir homenaje a dios volador respetado y temido pobladores
figura diseñada rendir homenaje a dios volador respetado y temido pobladores,serviría ofrenda divinidad castigue ausencias lluvias
serviría ofrenda divinidad castigue ausencias lluvias,Araña enorme red líneas ubicadas borde trapezoide superficie terrestre
Araña enorme red líneas ubicadas borde trapezoide superficie terrestre,figuras destacadas gracias a destreza trazo
figuras destacadas gracias a destreza trazo,Mide metros
Mide metros,relacionada constelación Orión conocida mundialmente brillantes espacio exterior
relacionada constelación Orión conocida mundialmente brillantes espacio exterior,geoglifo aspectos astronómicos religiosos
geoglifo aspectos astronómicos religiosos,encuentran relacionados realización presagios tiempos lluvias
encuentran relacionados realización presagios tiempos lluvias,encontrarse sumamente árido pobladores y estudiosos utilizaban figura evitar tiempos sequías
encontrarse sumamente árido pobladores y estudiosos utilizaban figura evitar tiempos sequías,Astronauta
Astronauta,poquísimas representaciones antropomórficas encuentran pampas conocida extraña figura humana metros longitud conocida Astronauta o Extraterrestre recostada ladera colina alejada figuras
poquísimas representaciones antropomórficas encuentran pampas conocida extraña figura humana metros longitud conocida Astronauta o Extraterrestre recostada ladera colina alejada figuras,Año historiador y cronista español Cieza León contó vio señales partes desierto Nasca
Año historiador y cronista español Cieza León contó vio señales partes desierto Nasca,Año daño documentado construcción pista aterrizaje
Año daño documentado construcción pista aterrizaje,Julio César Tello y Toribio Mejía Xesspe arqueólogos estudiar líneas
Julio César Tello y Toribio Mejía Xesspe arqueólogos estudiar líneas,Año Construcción carretera Panamericana Sur
Año Construcción carretera Panamericana Sur,Viaja Paul Kosok a Nasca y descubre correlaciones astronómicas líneas
Viaja Paul Kosok a Nasca y descubre correlaciones astronómicas líneas,Descubren figura Ave Kosok
Descubren figura Ave Kosok,John Rowe concluye centros adoración discípulo matemático Max Uhle argumentó gigantesco calendario
John Rowe concluye centros adoración discípulo matemático Max Uhle argumentó gigantesco calendario,Descubre Araña mono y figuras
Descubre Araña mono y figuras,líneas declaradas Patrimonio Cultural Humanidad UNESCO
líneas declaradas Patrimonio Cultural Humanidad UNESCO,equipo arqueológico Fundación Suiza Liechtenstein primeras investigaciones sistemáticas concluyendo líneas hechas año y Año Desplazamiento tierra
equipo arqueológico Fundación Suiza Liechtenstein primeras investigaciones sistemáticas concluyendo líneas hechas año y Año Desplazamiento tierra,Año Pobladores invaden zonas restringidas
Año Pobladores invaden zonas restringidas,Año Asistentes Rally Dakar causan daños Líneas
Año Asistentes Rally Dakar causan daños Líneas,Año Activistas Greenpeace invaden y dañan zona protegida slogan
Año Activistas Greenpeace invaden y dañan zona protegida slogan,Año Medios comunicación japoneses dañan geoglifos
Augusto Leguia Augusto Leguía Biografías señor Oncenio presidente acomodó celebraciones centenario República a particulares intereses y condición maestro juventud pasó a convertirse temido dictador,actos y decisiones trazado aspectos vida nacional
actos y decisiones trazado aspectos vida nacional,lambayecano murió Callao estudiado Chile defensor patria Ministro Hacienda presidente y exiliado Regresa ponerse servicio país Convenció a tirios y troyanos Desconfianza Leguía y golpe República Patria Implantó política corte dictatorial Constitución servicio Leguía originó abuso jurídico errada política dictatorial acentuó centralismo entregó Brea y Pariñas y sistema vial nefastos tratados dictadura dure cien años triste dictador juicio histórico Raúl Porras Barrenechea tratado juicio histórico Jorge Basadre sore Oncenio Leguía Biografías Augusto Leguía lambayecano murió Callao febrero murió don Augusto Bernardino Leguía clínica Americana Bellavista Callao
lambayecano murió Callao estudiado Chile defensor patria Ministro Hacienda presidente y exiliado Regresa ponerse servicio país Convenció a tirios y troyanos Desconfianza Leguía y golpe República Patria Implantó política corte dictatorial Constitución servicio Leguía originó abuso jurídico errada política dictatorial acentuó centralismo entregó Brea y Pariñas y sistema vial nefastos tratados dictadura dure cien años triste dictador juicio histórico Raúl Porras Barrenechea tratado juicio histórico Jorge Basadre sore Oncenio Leguía Biografías Augusto Leguía lambayecano murió Callao febrero murió don Augusto Bernardino Leguía clínica Americana Bellavista Callao,nacido Lambayeque febrero morir años
nacido Lambayeque febrero morir años,integrante familia vascos y cuya principal actividad comercio
integrante familia vascos y cuya principal actividad comercio,padres don Nicanor Leguía Haro y doña Carmen Salcedo Taforó
padres don Nicanor Leguía Haro y doña Carmen Salcedo Taforó,estudiado Chile juventud don Augusto Bernardino Leguía quiso perfeccionarse técnicas actividad comercial familia decidió a estudiar Comercio Valparaíso Chile
estudiado Chile juventud don Augusto Bernardino Leguía quiso perfeccionarse técnicas actividad comercial familia decidió a estudiar Comercio Valparaíso Chile,defensor patria retornar a patria participó defensa Perú guerra Chile batallas San Juan enero y Miraflores enero defensa infructuosa puñado militares peruanos dirigiendo a miles jóvenes imberbes contrarrestar recio ataque miles chilenos profesionales guerra
defensor patria retornar a patria participó defensa Perú guerra Chile batallas San Juan enero y Miraflores enero defensa infructuosa puñado militares peruanos dirigiendo a miles jóvenes imberbes contrarrestar recio ataque miles chilenos profesionales guerra,Ministro Hacienda presidente y exiliado lustros llamada época Reconstrucción Nacional Leguía prominente miembro Partido Civilista asumió cargo ministro Hacienda periodo y gobierno José Pardo y Barreda
Ministro Hacienda presidente y exiliado lustros llamada época Reconstrucción Nacional Leguía prominente miembro Partido Civilista asumió cargo ministro Hacienda periodo y gobierno José Pardo y Barreda,y asumió presidencia República elecciones populares
y asumió presidencia República elecciones populares,gobierno Billinghurst Leguía desterrado
gobierno Billinghurst Leguía desterrado,sanción política ratificada Pardo y Leguía afincarse años Inglaterra
sanción política ratificada Pardo y Leguía afincarse años Inglaterra,Regresa ponerse servicio país José Pardo y Barreda término mandato año llamó a elecciones generales y amigos avisaron a Leguía hora regresar país ponerse a servicio
Regresa ponerse servicio país José Pardo y Barreda término mandato año llamó a elecciones generales y amigos avisaron a Leguía hora regresar país ponerse a servicio,efecto Leguía emprende retorno Perú
efecto Leguía emprende retorno Perú,Inglaterra dirige a Unidos Norteamérica acto precedentes a importantes acuerdos hombres banca y negocios norteamericanos a convenció inviertan Perú supone previo apoyo a candidatura presidencial
Inglaterra dirige a Unidos Norteamérica acto precedentes a importantes acuerdos hombres banca y negocios norteamericanos a convenció inviertan Perú supone previo apoyo a candidatura presidencial,Convenció a tirios y troyanos llegar a Perú Leguía presentó candidato a presidencia República agrupando adherentes a constitucionalistas o caceristas a liberales Durand y a demócratas Piérola
Convenció a tirios y troyanos llegar a Perú Leguía presentó candidato a presidencia República agrupando adherentes a constitucionalistas o caceristas a liberales Durand y a demócratas Piérola,prédica electoral demagógica historiadores apoyó reivindicaciones clase obrera y recuperación Perú Tacna Arica y Tarapacá
prédica electoral demagógica historiadores apoyó reivindicaciones clase obrera y recuperación Perú Tacna Arica y Tarapacá,jóvenes universitarios engañados y cayeron ardid político Leguía y liderados Víctor Raúl Torre fundador Apra nominaron maestro juventud
jóvenes universitarios engañados y cayeron ardid político Leguía y liderados Víctor Raúl Torre fundador Apra nominaron maestro juventud,candidato Leguía logrado encandilar a tirios y troyanos ofrecimientos utópicos
candidato Leguía logrado encandilar a tirios y troyanos ofrecimientos utópicos,Desconfianza Leguía y golpe rival Leguía dichas elecciones civilista don Ántero Aspíllaga dueño Augusto Leguía Biografías hacienda Cayaltí latifundio costa norte Perú
Desconfianza Leguía y golpe rival Leguía dichas elecciones civilista don Ántero Aspíllaga dueño Augusto Leguía Biografías hacienda Cayaltí latifundio costa norte Perú,resultados consulta popular indudablemente favorables a Leguía
resultados consulta popular indudablemente favorables a Leguía,escrutinios atendiendo a rumores Gobierno iba a anular comicios Leguía golpe apoyo guarnición militar Lima julio Pardo y Barreda presidente constitucional apresado y deportado a Europa
escrutinios atendiendo a rumores Gobierno iba a anular comicios Leguía golpe apoyo guarnición militar Lima julio Pardo y Barreda presidente constitucional apresado y deportado a Europa,Leguía asumió gobierno título Presidente Provisorio
Leguía asumió gobierno título Presidente Provisorio,República Patria Presidente Provisorio disolver Congreso República
República Patria Presidente Provisorio disolver Congreso República,acto terminó época llamada República Aristocrática y inició República Patria
acto terminó época llamada República Aristocrática y inició República Patria,Asamblea Constituyente proclamó a Leguía presidente constitucional octubre periodo años gobierno
Asamblea Constituyente proclamó a Leguía presidente constitucional octubre periodo años gobierno,Asamblea Constituyente redactó Carta Magna apresurada meses Constitución Política Perú promulgada Leguía enero
Asamblea Constituyente redactó Carta Magna apresurada meses Constitución Política Perú promulgada Leguía enero,Implantó política corte dictatorial periodo gubernamental Leguía dictatorial y personalista totalmente opuesto a apertura democrática ofrecido campaña electoral
Implantó política corte dictatorial periodo gubernamental Leguía dictatorial y personalista totalmente opuesto a apertura democrática ofrecido campaña electoral,imperio ordenamiento jurídico partidarios cercanos a Leguía usaron y abusaron
imperio ordenamiento jurídico partidarios cercanos a Leguía usaron y abusaron,acallar voces discrepantes atentó libertad expresión
acallar voces discrepantes atentó libertad expresión,Enardecidas turbas leguiístas incendiaron locales Comercio y Prensa cuyo director Luis Fernán Cisneros deportado a Aires golpe a democracia supresión gobiernos locales autoridades municipales elegidas voto popular reemplazadas juntas notables señaladas a dedo
Enardecidas turbas leguiístas incendiaron locales Comercio y Prensa cuyo director Luis Fernán Cisneros deportado a Aires golpe a democracia supresión gobiernos locales autoridades municipales elegidas voto popular reemplazadas juntas notables señaladas a dedo,Constitución servicio Leguía prevalecer férreo control instituciones democráticas perpetuarse Leguía miramiento cambiar normas jurídicas nación provecho personal e modificar Constitución Política Perú Constitución Política Perú disponía mandato febrero Nace don Augusto Bernardino Leguía ciudad Lambayeque
Constitución servicio Leguía prevalecer férreo control instituciones democráticas perpetuarse Leguía miramiento cambiar normas jurídicas nación provecho personal e modificar Constitución Política Perú Constitución Política Perú disponía mandato febrero Nace don Augusto Bernardino Leguía ciudad Lambayeque,enero Participa voluntario batalla San Juan
enero Participa voluntario batalla San Juan,enero defensor patria batalla Miraflores
enero defensor patria batalla Miraflores,ministro Hacienda gobierno José Pardo y Barreda
ministro Hacienda gobierno José Pardo y Barreda,presidente República elecciones populares
presidente República elecciones populares,julio Leguía ocupado elecciones populares reemplazar presidente República a don José Pardo y Barreda desconfió adversarios y propició golpe proclamándose Presidente Provisorio
julio Leguía ocupado elecciones populares reemplazar presidente República a don José Pardo y Barreda desconfió adversarios y propició golpe proclamándose Presidente Provisorio,octubre Asamblea Constituyente legaliza gobierno presidente República periodo años
octubre Asamblea Constituyente legaliza gobierno presidente República periodo años,personaje y Biografías Augusto Leguía Augusto Leguía Biografías presidente años
personaje y Biografías Augusto Leguía Augusto Leguía Biografías presidente años,Constitución Política Perú eliminó obstáculo legal y determinó presidente pudiera elegido periodo gobierno instauraba Perú sistema reelección inmediata
Constitución Política Perú eliminó obstáculo legal y determinó presidente pudiera elegido periodo gobierno instauraba Perú sistema reelección inmediata,Asamblea Constituyente adicta Leguía logrado propósito redactar Constitución a medida ambiciones políticas y resortes manos y sumisión poderes electoral legislativo y judicial obstáculo reelegido periodo gobierno
Asamblea Constituyente adicta Leguía logrado propósito redactar Constitución a medida ambiciones políticas y resortes manos y sumisión poderes electoral legislativo y judicial obstáculo reelegido periodo gobierno,cumplido mandato Leguía dificultad preparar escenario elección y salir vencedor
cumplido mandato Leguía dificultad preparar escenario elección y salir vencedor,implementación llama sistema
implementación llama sistema,Foto Augusto Leguía
Foto Augusto Leguía,enero Promulga Constitución Política Perú
enero Promulga Constitución Política Perú,reformar Constitución e implanta sistema reelección presidencial asegura presidencia República años
reformar Constitución e implanta sistema reelección presidencial asegura presidencia República años,volver a reelegirse serie protestas sacan gobierno y encarcelado
volver a reelegirse serie protestas sacan gobierno y encarcelado,febrero Leguía enferma y internado hospital Bellavista Callao muere a años edad
febrero Leguía enferma y internado hospital Bellavista Callao muere a años edad,personaje y Biografías Augusto Leguía originó abuso jurídico oportunidad protestas y motines populares y militares abundaron reprimidos a sangre y fuego
personaje y Biografías Augusto Leguía originó abuso jurídico oportunidad protestas y motines populares y militares abundaron reprimidos a sangre y fuego,don Augusto Durand sublevó Huánuco apresado falleciendo buques marina marzo Samanez Ocampo y joven militar Miguel Sánchez Cerro sublevaron Cusco
don Augusto Durand sublevó Huánuco apresado falleciendo buques marina marzo Samanez Ocampo y joven militar Miguel Sánchez Cerro sublevaron Cusco,reyerta fuerzas orden Sánchez Cerro herido gravemente terminando revuelta
reyerta fuerzas orden Sánchez Cerro herido gravemente terminando revuelta,Leguía deferente clero y Iglesia a masón grado autorizado consagración Perú Corazón Jesús propiciada Arzobispo Lima
Leguía deferente clero y Iglesia a masón grado autorizado consagración Perú Corazón Jesús propiciada Arzobispo Lima,universitarios opusieron a medida produciéndose serios disturbios principales calles Lima
universitarios opusieron a medida produciéndose serios disturbios principales calles Lima,Torre presidente Federación Estudiantes Perú apresado y deportado a México años fundó Apra
Torre presidente Federación Estudiantes Perú apresado y deportado a México años fundó Apra,errada política dictatorial dictador Leguía política errada casos nefasta intereses Perú
errada política dictatorial dictador Leguía política errada casos nefasta intereses Perú,Concertó Unidos diez paquetes préstamos intereses onerosos iniciándose dependencia económica Perú frente a duda pacto establecido banqueros norteamericanos York vino Europa a Lima
Concertó Unidos diez paquetes préstamos intereses onerosos iniciándose dependencia económica Perú frente a duda pacto establecido banqueros norteamericanos York vino Europa a Lima,política contraria pensamiento Piérola decía préstamos
política contraria pensamiento Piérola decía préstamos,dinero fresco bonanza temporal caja fiscal colmó billetes inició proceso endeudamiento externo Perú atado capital extranjero
dinero fresco bonanza temporal caja fiscal colmó billetes inició proceso endeudamiento externo Perú atado capital extranjero,acentuó centralismo grave defecto Leguía tendencia centralismo
acentuó centralismo grave defecto Leguía tendencia centralismo,pretexto centenario republicano embelleció Lima inició expansión sur construyendo avenida Lima a Miraflores inicialmente llamada Avenida Leguía y denominó Avenida Arequipa
pretexto centenario republicano embelleció Lima inició expansión sur construyendo avenida Lima a Miraflores inicialmente llamada Avenida Leguía y denominó Avenida Arequipa,provincias totalmente olvidadas
provincias totalmente olvidadas,entregó Brea y Pariñas y sistema vial Laudo París firmó abril Leguía entregó pozos petroleros Brea y Pariñas a International Petroleum Company obligación tributaria peruano
entregó Brea y Pariñas y sistema vial Laudo París firmó abril Leguía entregó pozos petroleros Brea y Pariñas a International Petroleum Company obligación tributaria peruano,negociación ilegal y prevaleció
negociación ilegal y prevaleció,setiembre Leguía arreglo lesivo intereses país
setiembre Leguía arreglo lesivo intereses país,Entregó concesión perpetua ferrocarriles Perú a empresa inglesa Peruvian Corporation
Entregó concesión perpetua ferrocarriles Perú a empresa inglesa Peruvian Corporation,nefastos tratados dictadura diciembre Leguía aprobar Congreso República Tratado firmado año entregando a Colombia miles hectáreas suelo patrio zona baja Putumayo y Caquetá y Trapecio Amazónico dando a Colombia salida río Amazonas
nefastos tratados dictadura diciembre Leguía aprobar Congreso República Tratado firmado año entregando a Colombia miles hectáreas suelo patrio zona baja Putumayo y Caquetá y Trapecio Amazónico dando a Colombia salida río Amazonas,cambio Perú recibía compensación pequeño Triángulo Sucumbios
cambio Perú recibía compensación pequeño Triángulo Sucumbios,junio Leguía aprobó firma Tratado Rada Larraín llamado Tratado y Protocolo Complementario resolver cuestión Tacna y Arica
junio Leguía aprobó firma Tratado Rada Larraín llamado Tratado y Protocolo Complementario resolver cuestión Tacna y Arica,arreglo Tacna regresó Perú y Arica definitivamente cedida a Chile
arreglo Tacna regresó Perú y Arica definitivamente cedida a Chile,Manuel González Prada firme opositor y lanzó lapidaria frase acto celebrado Perú cráneos cerebros
Manuel González Prada firme opositor y lanzó lapidaria frase acto celebrado Perú cráneos cerebros,dure cien años dure cien años cuerpo aguante funesta dictadura Augusto Leguía Biografías triste dictador Leguía renunció y dirigió Callao abordó crucero Almirante Grau confiando Marina
dure cien años dure cien años cuerpo aguante funesta dictadura Augusto Leguía Biografías triste dictador Leguía renunció y dirigió Callao abordó crucero Almirante Grau confiando Marina,Almirante Grau dirigía norte comandante barco recibió contraorden y retornar Callao
Almirante Grau dirigía norte comandante barco recibió contraorden y retornar Callao,Leguía tomado prisionero y encarcelado Panóptico meses
Leguía tomado prisionero y encarcelado Panóptico meses,llevaron Hospital Marina murió febrero totalmente desamparado y atendido íntimos familiares
llevaron Hospital Marina murió febrero totalmente desamparado y atendido íntimos familiares,medraron Oncenio tocando puertas Palacio besamanos correspondiente mandamás Patria
medraron Oncenio tocando puertas Palacio besamanos correspondiente mandamás Patria,olvidar tiempos inmemoriales célebre frase muerto rey viva rey
olvidar tiempos inmemoriales célebre frase muerto rey viva rey,políticos criollos decían A rey muerto rey puesto
políticos criollos decían A rey muerto rey puesto,juicio histórico Raúl Porras Barrenechea tratado Raúl Porras Barrenechea libro Historia límites Perú solución divisoria representa realidad frente a utopía reivindicaciones totales o triste política aplazamientos
juicio histórico Raúl Porras Barrenechea tratado Raúl Porras Barrenechea libro Historia límites Perú solución divisoria representa realidad frente a utopía reivindicaciones totales o triste política aplazamientos,situación fuerza problema mantuvo cuarenta años Perú obtenido mitad asLeguía terminar
situación fuerza problema mantuvo cuarenta años Perú obtenido mitad asLeguía terminar,agosto comandante Luis Sánchez Cerro sublevó a guarnición Arequipa gobierno Leguía
agosto comandante Luis Sánchez Cerro sublevó a guarnición Arequipa gobierno Leguía,Lima agosto lanzó comunicado oficial reconociendo levantamiento Arequipa
Lima agosto lanzó comunicado oficial reconociendo levantamiento Arequipa,Leguía costumbre asistió Hipódromo Santa Beatriz escuchó estruendosa silbatina vida
Leguía costumbre asistió Hipódromo Santa Beatriz escuchó estruendosa silbatina vida,manifiesta impopularidad caído dictador ejército Lima conducción Manuel María Ponce reveló y exigió renuncia Leguía
manifiesta impopularidad caído dictador ejército Lima conducción Manuel María Ponce reveló y exigió renuncia Leguía,ofreció entregarla Congreso
ofreció entregarla Congreso,militares Congreso cesado funciones y tenían
militares Congreso cesado funciones y tenían,golpe militar consumado
golpe militar consumado,Leguía saludado diplomáticos primados Iglesia jefes militares y personalidades época clásica ceremonia besamanos pintura Daniel Hernández existente galería dictador destaca figura mariscal Andrés
Leguía saludado diplomáticos primados Iglesia jefes militares y personalidades época clásica ceremonia besamanos pintura Daniel Hernández existente galería dictador destaca figura mariscal Andrés,Cáceres
Cáceres,Biografías Augusto Leguía piraciones
Biografías Augusto Leguía piraciones,campaña plebiscitaria revelado incontestable Tacna seguía peruana Arica hallaba totalmente chilenizada
campaña plebiscitaria revelado incontestable Tacna seguía peruana Arica hallaba totalmente chilenizada,ventajas mayores tratado cláusulas orden económico o territorial
ventajas mayores tratado cláusulas orden económico o territorial,hondo encono pueblos cambiado amistad
hondo encono pueblos cambiado amistad,generaciones desconocerán política odio y ultraje a arrastrado a países discusión encarnizada
generaciones desconocerán política odio y ultraje a arrastrado a países discusión encarnizada,peligro complicaciones internacionales a conducía irresolución problema Tacna y Arica desvanecido beneficio paz Continente
peligro complicaciones internacionales a conducía irresolución problema Tacna y Arica desvanecido beneficio paz Continente,juicio histórico Jorge Basadre Oncenio Leguía Jorge Basadre Historia República tema y Oncenio Leguía a buscar saldo positivo a favor Leguía Oncenio criterio simpatizante señalaría condiciones personales caudillo atrajeron devociones pasajeras e interesadas afectos hondos perdurables revela subsistencia partido cuyo programa consiste reivindicar figura espíritu empresa particular y público surgió audacia a época crecimiento material país repercutió visiblemente programa urbano capital tendencia a delimitación fronteras concluyendo conflictos países vecinos frente amenazas paz internacional y premisa solidaridad americana impuesta ritmo tiempos venido cabe presentar críticas a procesal arreglos o linderos exactos fijados a lastimaron a geografía patria contenido sentimental
juicio histórico Jorge Basadre Oncenio Leguía Jorge Basadre Historia República tema y Oncenio Leguía a buscar saldo positivo a favor Leguía Oncenio criterio simpatizante señalaría condiciones personales caudillo atrajeron devociones pasajeras e interesadas afectos hondos perdurables revela subsistencia partido cuyo programa consiste reivindicar figura espíritu empresa particular y público surgió audacia a época crecimiento material país repercutió visiblemente programa urbano capital tendencia a delimitación fronteras concluyendo conflictos países vecinos frente amenazas paz internacional y premisa solidaridad americana impuesta ritmo tiempos venido cabe presentar críticas a procesal arreglos o linderos exactos fijados a lastimaron a geografía patria contenido sentimental,positivos méritos y auténticos servicios país Leguía lados vulnerables pidió prestado dinero devolver despreocupado indiferencia moral partidarios y parientes toleró clase oposición puso frenos servilismo embarcó política reelecciones sucesivas ciega consigna podía eterna durar hirió sentimiento nacional soluciones conflictos límites
positivos méritos y auténticos servicios país Leguía lados vulnerables pidió prestado dinero devolver despreocupado indiferencia moral partidarios y parientes toleró clase oposición puso frenos servilismo embarcó política reelecciones sucesivas ciega consigna podía eterna durar hirió sentimiento nacional soluciones conflictos límites,Fotografía cadáver Leguía fototeca Biblioteca Nacional
CANAL PANAMÁ,treinta y años obras inauguró canal une océano Atlántico océano Pacífico
treinta y años obras inauguró canal une océano Atlántico océano Pacífico,apertura y administrado Unidos
apertura y administrado Unidos,A Panamá comenzó a intervenir gestión canal y finalmente asumió control tráfico
A Panamá comenzó a intervenir gestión canal y finalmente asumió control tráfico,construcción canal Panamá
construcción canal Panamá,Compagnie Universelle du Canal Interocéanique Panama comenzó obra
Compagnie Universelle du Canal Interocéanique Panama comenzó obra,trabajos cancelados Compañía Canal Panamá capitales estadounidenses compró firma francesa y rediseñó proyecto adoptando estructura esclusas
trabajos cancelados Compañía Canal Panamá capitales estadounidenses compró firma francesa y rediseñó proyecto adoptando estructura esclusas,construcción extrajeron millones metros cúbicos roca y tierra
construcción extrajeron millones metros cúbicos roca y tierra,material sirvió puentes tierra transformaron islas penínsulas
material sirvió puentes tierra transformaron islas penínsulas,utilizó relleno y construcción barreras erosión zonas costeras
utilizó relleno y construcción barreras erosión zonas costeras,Ferdinand Marie Lesseps
Ferdinand Marie Lesseps,Ferdinand Marie vizconde Lesseps construido canal Suez diseño proyecto conectar océano Atlántico Pacífico canal Panamá
Ferdinand Marie vizconde Lesseps construido canal Suez diseño proyecto conectar océano Atlántico Pacífico canal Panamá,A km extensión disponen sistemas esclusas
A km extensión disponen sistemas esclusas,lagos artificiales permiten salvar desnivel alturas océanos
lagos artificiales permiten salvar desnivel alturas océanos,puertos oceánicos comunicados vías paralelas esclusas Miraflores Gatún y Pedro Miguel
puertos oceánicos comunicados vías paralelas esclusas Miraflores Gatún y Pedro Miguel,A congestión tráfico vuelto asunto preocupante barcos travesía completa
A congestión tráfico vuelto asunto preocupante barcos travesía completa,esclusa o cámaras
esclusa o cámaras,cámara compuertas y válvulas
cámara compuertas y válvulas,válvulas permiten paso agua y llenado cámara
válvulas permiten paso agua y llenado cámara,cámara nivelado altura agua abren compuertas dejan pasar barco
cámara nivelado altura agua abren compuertas dejan pasar barco,proyecto ampliación canal Panamá
proyecto ampliación canal Panamá,puso marcha proyecto ampliación canal Panamá prevé terminado año obras permitirán acceso a buques calado
puso marcha proyecto ampliación canal Panamá prevé terminado año obras permitirán acceso a buques calado,sistema tinas
sistema tinas,tinas o celdas paralelas a cámaras permitirá racionamiento agua y disminución tiempos llenado vaciado cámaras
